Country,Year,CO2
Northern Hemisphere,1995,0.9494654
Northern Hemisphere,1996,0.6725781
Northern Hemisphere,1997,0.9155499
Northern Hemisphere,1998,1.0951204
Northern Hemisphere,1999,0.85719246
Northern Hemisphere,2000,0.8679054
Northern Hemisphere,2001,1.0090723
Northern Hemisphere,2002,1.0495435
Northern Hemisphere,2003,1.1013008
Northern Hemisphere,2004,1.0143192
Northern Hemisphere,2005,1.2122287
Northern Hemisphere,2006,1.1755902
Northern Hemisphere,2007,1.2129318
Northern Hemisphere,2008,1.0525335
Northern Hemisphere,2009,1.0875689
Northern Hemisphere,2010,1.300329
Northern Hemisphere,2011,1.1061754
Northern Hemisphere,2012,1.1651609
Northern Hemisphere,2013,1.1575035
Northern Hemisphere,2014,1.2886233
Northern Hemisphere,2015,1.51167
Northern Hemisphere,2016,1.6360222
Northern Hemisphere,2017,1.4962262
Northern Hemisphere,2018,1.340491
Northern Hemisphere,2019,1.5245727
Northern Hemisphere,2020,1.6567389
Northern Hemisphere,2021,1.459022
Northern Hemisphere,2022,1.4806312
Northern Hemisphere,2023,1.7946954
Northern Hemisphere,2024,1.9299376
Northern Hemisphere,2025,1.9375346
Southern hemisphere,1850,-0.055760294
Southern hemisphere,1851,0.09631559
Southern hemisphere,1852,0.12067008
Southern hemisphere,1853,0.048449486
Southern hemisphere,1854,-0.064585805
Southern hemisphere,1855,-0.004493027
Southern hemisphere,1856,0.036599606
Southern hemisphere,1857,-0.13929725
Southern hemisphere,1858,-0.07516077
Southern hemisphere,1859,0.029019356
Southern hemisphere,1860,0.022467911
Southern hemisphere,1861,-0.1092464
Southern hemisphere,1862,-0.027460665
Southern hemisphere,1863,-0.04356125
Southern hemisphere,1864,-0.12546372
Southern hemisphere,1865,0.046106488
Southern hemisphere,1866,0.034974933
Southern hemisphere,1867,0.034932762
Southern hemisphere,1868,-0.0014431169
Southern hemisphere,1869,-0.040611118
Southern hemisphere,1870,5.2572228e-05
Southern hemisphere,1871,0.047560304
Southern hemisphere,1872,0.044704765
Southern hemisphere,1873,0.036696732
Southern hemisphere,1874,-0.109003454
Southern hemisphere,1875,0.076236635
Southern hemisphere,1876,-0.06948739
Southern hemisphere,1877,0.24291082
Southern hemisphere,1878,0.24992508
Southern hemisphere,1879,0.07274616
Southern hemisphere,1880,0.09609981
Southern hemisphere,1881,0.16332506
Southern hemisphere,1882,0.12568516
Southern hemisphere,1883,0.07788083
Southern hemisphere,1884,-0.006412505
Southern hemisphere,1885,-0.08884436
Southern hemisphere,1886,-0.052574724
Southern hemisphere,1887,-0.15958628
Southern hemisphere,1888,-0.04254237
Southern hemisphere,1889,0.10444102
Southern hemisphere,1890,-0.14627793
Southern hemisphere,1891,-0.046961695
Southern hemisphere,1892,-0.09529063
Southern hemisphere,1893,-0.08874869
Southern hemisphere,1894,-0.18116489
Southern hemisphere,1895,-0.10861626
Southern hemisphere,1896,0.06919196
Southern hemisphere,1897,0.07572627
Southern hemisphere,1898,-0.19737104
Southern hemisphere,1899,-0.03405595
Southern hemisphere,1900,0.07270858
Southern hemisphere,1901,-0.028147131
Southern hemisphere,1902,-0.07427922
Southern hemisphere,1903,-0.21774736
Southern hemisphere,1904,-0.27298346
Southern hemisphere,1905,-0.06831443
Southern hemisphere,1906,-0.03414029
Southern hemisphere,1907,-0.12782994
Southern hemisphere,1908,-0.20611134
Southern hemisphere,1909,-0.23399827
Southern hemisphere,1910,-0.22682038
Southern hemisphere,1911,-0.2814481
Southern hemisphere,1912,-0.07724643
Southern hemisphere,1913,-0.095793515
Southern hemisphere,1914,0.08774179
Southern hemisphere,1915,0.1356774
Southern hemisphere,1916,-0.05308503
Southern hemisphere,1917,-0.15765437
Southern hemisphere,1918,-0.035916954
Southern hemisphere,1919,0.06512877
Southern hemisphere,1920,0.055853188
Southern hemisphere,1921,0.025767624
Southern hemisphere,1922,-0.03202632
Southern hemisphere,1923,-0.036689937
Southern hemisphere,1924,-0.08756858
Southern hemisphere,1925,-0.052422196
Southern hemisphere,1926,0.10014863
Southern hemisphere,1927,-0.008085935
Southern hemisphere,1928,0.017772079
Southern hemisphere,1929,-0.10503283
Southern hemisphere,1930,0.020167619
Southern hemisphere,1931,0.091108024
Southern hemisphere,1932,0.09027633
Southern hemisphere,1933,-0.035871267
Southern hemisphere,1934,0.048495084
Southern hemisphere,1935,0.018198311
Southern hemisphere,1936,0.06571981
Southern hemisphere,1937,0.18360215
Southern hemisphere,1938,0.1598766
Southern hemisphere,1939,0.20878066
Southern hemisphere,1940,0.37365705
Southern hemisphere,1941,0.34453455
Southern hemisphere,1942,0.2864372
Southern hemisphere,1943,0.24413194
Southern hemisphere,1944,0.41191113
Southern hemisphere,1945,0.3464084
Southern hemisphere,1946,0.117611066
Southern hemisphere,1947,0.1171457
Southern hemisphere,1948,0.09522241
Southern hemisphere,1949,0.123673946
Southern hemisphere,1950,0.081415236
Southern hemisphere,1951,0.16760908
Southern hemisphere,1952,0.3046579
Southern hemisphere,1953,0.29244858
Southern hemisphere,1954,0.14138348
Southern hemisphere,1955,0.074733764
Southern hemisphere,1956,0.09656432
Southern hemisphere,1957,0.30886415
Southern hemisphere,1958,0.22580537
Southern hemisphere,1959,0.20068087
Southern hemisphere,1960,0.112450525
Southern hemisphere,1961,0.3104974
Southern hemisphere,1962,0.16747507
Southern hemisphere,1963,0.19978075
Southern hemisphere,1964,-0.006954848
Southern hemisphere,1965,0.1300579
Southern hemisphere,1966,0.13493095
Southern hemisphere,1967,0.14782028
Southern hemisphere,1968,0.14570934
Southern hemisphere,1969,0.38133177
Southern hemisphere,1970,0.29613784
Southern hemisphere,1971,0.16095105
Southern hemisphere,1972,0.40606686
Southern hemisphere,1973,0.42206517
Southern hemisphere,1974,0.24834637
Southern hemisphere,1975,0.23313996
Southern hemisphere,1976,0.163955
Southern hemisphere,1977,0.47097278
Southern hemisphere,1978,0.36617467
Southern hemisphere,1979,0.4944014
Southern hemisphere,1980,0.59660333
Southern hemisphere,1981,0.5038271
Southern hemisphere,1982,0.42218092
Southern hemisphere,1983,0.59917223
Southern hemisphere,1984,0.46937495
Southern hemisphere,1985,0.49525252
Southern hemisphere,1986,0.47312266
Southern hemisphere,1987,0.6341041
Southern hemisphere,1988,0.5924084
Southern hemisphere,1989,0.48489955
Southern hemisphere,1990,0.60094404
Southern hemisphere,1991,0.6363683
Southern hemisphere,1992,0.49665067
Southern hemisphere,1993,0.4827357
Southern hemisphere,1994,0.48764005
Southern hemisphere,1995,0.5288624
Southern hemisphere,1996,0.6053962
Southern hemisphere,1997,0.6536627
Southern hemisphere,1998,0.7841584
Southern hemisphere,1999,0.516373
Southern hemisphere,2000,0.5188597
Southern hemisphere,2001,0.6940839
Southern hemisphere,2002,0.76198494
Southern hemisphere,2003,0.71163493
Southern hemisphere,2004,0.6450178
Southern hemisphere,2005,0.7260918
Southern hemisphere,2006,0.6941107
Southern hemisphere,2007,0.6950664
Southern hemisphere,2008,0.60336167
Southern hemisphere,2009,0.83058983
Southern hemisphere,2010,0.7850094
Southern hemisphere,2011,0.6938156
Southern hemisphere,2012,0.7146487
Southern hemisphere,2013,0.8142427
Southern hemisphere,2014,0.7817155
Southern hemisphere,2015,0.8631544
Southern hemisphere,2016,0.9544275
Southern hemisphere,2017,0.91871786
Southern hemisphere,2018,0.90941256
Southern hemisphere,2019,0.98216796
Southern hemisphere,2020,0.9136977
Southern hemisphere,2021,0.78938454
Southern hemisphere,2022,0.846575
Southern hemisphere,2023,1.1305256
Southern hemisphere,2024,1.1562582
Southern hemisphere,2025,1.1676264
World,1850,-0.06252327
World,1851,0.10044155
World,1852,0.13990693
World,1853,0.101611085
World,1854,0.07037581
World,1855,0.0725734
World,1856,0.035869516
World,1857,-0.10189607
World,1858,-0.032796256
World,1859,0.07198254
World,1860,-0.04316949
World,1861,-0.09973674
World,1862,-0.19086556
World,1863,-0.018886646
World,1864,-0.13017713
World,1865,-0.028281799
World,1866,-0.036202036
World,1867,-0.035454713
World,1868,0.0008390935
World,1869,0.04543773
World,1870,0.036178626
World,1871,-0.0094633605
World,1872,0.054508634
World,1873,0.04278163
World,1874,-0.001451364
World,1875,-0.00278773
World,1876,-0.046886496
World,1877,0.28153554
World,1878,0.37427387
World,1879,0.07522429
World,1880,0.060786255
World,1881,0.15094857
World,1882,0.09185199
World,1883,0.03640274
World,1884,-0.11048927
World,1885,-0.09417247
World,1886,-0.044213854
World,1887,-0.12438171
World,1888,-0.008627316
World,1889,0.11355785
World,1890,-0.13629024
World,1891,-0.03357353
World,1892,-0.14260815
World,1893,-0.13098629
World,1894,-0.11478632
World,1895,-0.07787656
World,1896,0.08536542
World,1897,0.109309204
World,1898,-0.110081755
World,1899,0.019652942
World,1900,0.13379936
World,1901,0.076807
World,1902,-0.07343387
World,1903,-0.17125247
World,1904,-0.23310672
World,1905,-0.04198443
World,1906,0.048589446
World,1907,-0.1355211
World,1908,-0.14259313
World,1909,-0.16894333
World,1910,-0.15812288
World,1911,-0.17583631
World,1912,-0.11218607
World,1913,-0.09955799
World,1914,0.104505904
World,1915,0.17337433
World,1916,-0.05626356
World,1917,-0.1799336
World,1918,-0.06207218
World,1919,0.031567015
World,1920,0.059566654
World,1921,0.12256629
World,1922,0.025829384
World,1923,0.04940743
World,1924,0.05545739
World,1925,0.08436141
World,1926,0.24183145
World,1927,0.13812429
World,1928,0.15554583
World,1929,-0.026352962
World,1930,0.19407724
World,1931,0.25814116
World,1932,0.21397778
World,1933,0.035649903
World,1934,0.18691353
World,1935,0.15109025
World,1936,0.19298774
World,1937,0.34791222
World,1938,0.35106725
World,1939,0.32215777
World,1940,0.43778524
World,1941,0.39831275
World,1942,0.36344865
World,1943,0.37031943
World,1944,0.5085881
World,1945,0.40686545
World,1946,0.24122432
World,1947,0.2679654
World,1948,0.23479094
World,1949,0.21008831
World,1950,0.12430362
World,1951,0.29207906
World,1952,0.37476888
World,1953,0.44093302
World,1954,0.24642856
World,1955,0.16527745
World,1956,0.09899167
World,1957,0.3290431
World,1958,0.34748483
World,1959,0.31743297
World,1960,0.25058928
World,1961,0.34955892
World,1962,0.3051238
World,1963,0.33255702
World,1964,0.06184069
World,1965,0.16166167
World,1966,0.21859619
World,1967,0.24825229
World,1968,0.19999647
World,1969,0.33616453
World,1970,0.27994427
World,1971,0.15987837
World,1972,0.27378127
World,1973,0.4164366
World,1974,0.19527704
World,1975,0.25798622
World,1976,0.15315439
World,1977,0.46905538
World,1978,0.36946464
World,1979,0.45206377
World,1980,0.55548227
World,1981,0.61092645
World,1982,0.39492694
World,1983,0.5848059
World,1984,0.4099977
World,1985,0.40994808
World,1986,0.45628086
World,1987,0.6021615
World,1988,0.64157176
World,1989,0.5388561
World,1990,0.7190031
World,1991,0.69776946
World,1992,0.48398593
World,1993,0.52505124
World,1994,0.59140015
World,1995,0.7350925
World,1996,0.63479936
World,1997,0.7790312
World,1998,0.93592083
World,1999,0.68199766
World,2000,0.6894687
World,2001,0.8474103
World,2002,0.90111876
World,2003,0.9022393
World,2004,0.826385
World,2005,0.9662671
World,2006,0.93028426
World,2007,0.949474
World,2008,0.82314956
World,2009,0.9539675
World,2010,1.0376073
World,2011,0.8965769
World,2012,0.93547153
World,2013,0.98260313
World,2014,1.031819
World,2015,1.1819104
World,2016,1.2887791
World,2017,1.2004167
World,2018,1.1171584
World,2019,1.2513031
World,2020,1.2802037
World,2021,1.1312726
World,2022,1.1658032
World,2023,1.4737644
World,2024,1.5334455
World,2025,1.4132316
